Height, Width, X, Y, Weight, Density, Too Long, Too Small,,, X, Width
44,45,1640,1378,363,0.183333333, False, False,,,1640,45
42,49,1407,859,362,0.175898931, False, False,,,1407,49
39,45,635,1555,355,0.202279202, False, False,,,635,45
41,49,1489,755,354,0.176207068, False, False,,,1489,49
41,52,1487,854,353,0.165572233, False, False,,,1487,52
33,51,628,1475,347,0.206179441, False, False,,,628,51
45,30,1033,1386,347,0.257037037, False, False,,,1033,30
39,50,940,1241,346,0.177435897, False, False,,,940,50
35,45,1277,487,346,0.21968254, False, False,,,1277,45
44,51,688,1648,340,0.151515152, False, False,,,688,51
35,40,637,1419,339,0.242142857, False, False,,,637,40
43,46,1484,1293,335,0.169362993, False, False,,,1484,46
45,29,1250,965,330,0.252873563, False, False,,,1250,29
41,47,1319,1151,322,0.167099118, False, False,,,1319,47
31,50,585,1033,320,0.206451613, False, False,,,585,50
45,28,1000,462,320,0.253968254, False, False,,,1000,28
40,25,1337,1285,318,0.318, False, False,,,1337,25
42,43,1495,692,316,0.174972315, False, False,,,1495,43
39,28,1484,1437,309,0.282967033, False, False,,,1484,28
46,43,752,901,305,0.154196158, False, False,,,752,43
37,27,1002,1390,303,0.303303303, False, False,,,1002,27
47,44,1116,946,302,0.146034816, False, False,,,1116,44
37,25,1402,964,301,0.325405405, False, False,,,1402,25
28,42,754,604,301,0.255952381, False, False,,,754,42
43,26,973,532,297,0.265652952, False, False,,,973,26
40,45,1390,1698,291,0.161666667, False, False,,,1390,45
36,23,1553,1118,287,0.346618357, False, False,,,1553,23
30,29,676,795,286,0.328735632, False, False,,,676,29
41,25,1572,568,286,0.27902439, False, False,,,1572,25
38,47,1583,430,286,0.160134378, False, False,,,1583,47
43,46,932,1668,283,0.143073812, False, False,,,932,46
41,27,973,463,283,0.25564589, False, False,,,973,27
35,24,1574,1121,280,0.333333333, False, False,,,1574,24
33,37,704,380,279,0.228501229, False, False,,,704,37
36,28,1310,1288,274,0.271825397, False, False,,,1310,28
32,34,1007,1739,272,0.25, False, False,,,1007,34
27,42,593,896,271,0.238977072, False, False,,,593,42
34,47,1142,1754,264,0.165206508, False, False,,,1142,47
49,45,546,1543,263,0.119274376, False, False,,,546,45
21,19,1101,1196,262,0.656641604, False, False,,,1101,19
36,24,1600,573,260,0.300925926, False, False,,,1600,24
45,57,575,966,257,0.100194932, False, False,,,575,57
34,22,1433,966,256,0.342245989, False, False,,,1433,22
30,42,649,1124,251,0.199206349, False, False,,,649,42
