Height, Width, X, Y, Weight, Density, Too Long, Too Small
37, 47, 687, 1714, 246, 0.14146060954571593, False, False
38, 35, 630, 508, 241, 0.181203007518797, False, False
36, 21, 1002, 538, 239, 0.31613756613756616, False, False
47, 42, 564, 1334, 233, 0.11803444782168186, False, False
82, 6, 1709, 694, 232, 0.4715447154471545, True, False
52, 8, 2262, 1630, 230, 0.5528846153846154, True, False
43, 12, 1574, 1756, 226, 0.437984496124031, True, False
19, 18, 1030, 1155, 224, 0.6549707602339181, False, False
32, 36, 693, 394, 217, 0.18836805555555555, False, False
8, 46, 1234, 1367, 215, 0.5842391304347826, True, False
67, 7, 1694, 1174, 215, 0.4584221748400853, True, False
18, 18, 1027, 1196, 214, 0.6604938271604939, False, False
77, 7, 1254, 587, 214, 0.3970315398886827, True, False
55, 8, 1848, 1421, 211, 0.47954545454545455, True, False
40, 38, 557, 1352, 211, 0.1388157894736842, False, False
28, 32, 1323, 1044, 210, 0.234375, False, False
47, 7, 2181, 1447, 209, 0.6352583586626139, True, False
17, 41, 934, 1465, 208, 0.2984218077474892, False, False
84, 7, 1401, 664, 208, 0.35374149659863946, True, False
39, 12, 1555, 1760, 198, 0.4230769230769231, True, False
16, 18, 1630, 1715, 198, 0.6875, False, False
71, 5, 1477, 742, 197, 0.5549295774647888, True, False
19, 16, 1335, 1098, 195, 0.6414473684210527, False, False
17, 16, 845, 540, 192, 0.7058823529411765, False, False
50, 9, 1846, 1477, 191, 0.42444444444444446, True, False
17, 17, 753, 804, 191, 0.6608996539792388, False, False
17, 17, 850, 1676, 190, 0.657439446366782, False, False
18, 15, 1006, 1690, 188, 0.6962962962962963, False, False
63, 6, 2440, 1304, 181, 0.47883597883597884, True, False
45, 8, 2348, 1640, 177, 0.49166666666666664, True, False
14, 34, 1391, 1299, 174, 0.36554621848739494, False, False
79, 6, 1470, 892, 174, 0.3670886075949367, True, False
15, 30, 1619, 1669, 171, 0.38, False, False
31, 15, 606, 1262, 163, 0.35053763440860214, False, False
16, 16, 1280, 716, 163, 0.63671875, False, False
62, 5, 1712, 631, 163, 0.5258064516129032, True, False
16, 14, 678, 857, 160, 0.7142857142857143, False, False
38, 9, 1602, 1565, 158, 0.4619883040935672, True, False
54, 6, 1780, 1013, 158, 0.4876543209876543, True, False
50, 5, 1539, 1168, 152, 0.608, True, False
34, 23, 568, 1139, 150, 0.1918158567774936, False, False
49, 7, 1613, 1238, 149, 0.43440233236151604, True, False
22, 28, 626, 1722, 148, 0.24025974025974026, False, False
14, 16, 685, 740, 146, 0.6517857142857143, False, False
51, 6, 2439, 1382, 145, 0.4738562091503268, True, False
17, 19, 633, 378, 143, 0.44272445820433437, False, False
11, 42, 606, 678, 140, 0.30303030303030304, True, False
55, 6, 1326, 676, 139, 0.4212121212121212, True, False
9, 43, 589, 1079, 138, 0.35658914728682173, True, False
73, 5, 2116, 500, 137, 0.37534246575342467, True, False
11, 33, 863, 1330, 135, 0.371900826446281, True, False
55, 5, 1783, 928, 134, 0.48727272727272725, True, False
48, 5, 1533, 1334, 133, 0.5541666666666667, True, False
52, 6, 1536, 1226, 132, 0.4230769230769231, True, False
66, 4, 2283, 398, 130, 0.49242424242424243, True, False
41, 35, 540, 1707, 128, 8.9198606271777e-2, False, False
24, 8, 2263, 1606, 127, 0.6614583333333334, True, False
54, 5, 1473, 837, 125, 0.46296296296296297, True, False
13, 15, 3207, 465, 125, 0.6410256410256411, False, False
15, 13, 3236, 520, 120, 0.6153846153846154, False, False
19, 20, 579, 1414, 116, 0.30526315789473685, False, False
44, 5, 1708, 776, 111, 0.5045454545454545, True, False
13, 20, 3240, 619, 111, 0.4269230769230769, False, False
47, 5, 1484, 536, 111, 0.4723404255319149, True, False
11, 43, 1562, 1016, 110, 0.23255813953488372, True, False
8, 33, 625, 605, 110, 0.4166666666666667, True, False
17, 11, 3223, 447, 109, 0.5828877005347594, False, False
44, 5, 2446, 737, 106, 0.4818181818181818, True, False
41, 5, 1031, 626, 106, 0.5170731707317073, True, False
44, 6, 1099, 721, 105, 0.3977272727272727, True, False
26, 13, 2227, 990, 102, 0.30177514792899407, False, False
27, 5, 624, 576, 102, 0.7555555555555555, True, False
23, 18, 644, 386, 102, 0.2463768115942029, False, False
